codigo,faixa,referencia,composicao,status,data_atualizacao,imagem_url
00095,ALUMINIO,BRANCO LISO-C10,-,ATIVO,24/10/2025,imagens/00095/BRANCO LISO-C10.jpg
00095,ALUMINIO,PRETO FOSCO LISO-C11,-,ATIVO,24/10/2025,imagens/00095/PRETO FOSCO LISO-C11.jpg
00095,ALUMINIO,BEGE LISO-C12,-,ATIVO,24/10/2025,imagens/00095/BEGE LISO-C12.jpg
00095,ALUMINIO,BEGE FOSCO TXT-C24,-,ATIVO,24/10/2025,imagens/00095/BEGE FOSCO TXT-C24.jpg
00095,ALUMINIO,MARROM LISO-C26,-,ATIVO,24/10/2025,imagens/00095/MARROM LISO-C26.jpg
00095,ALUMINIO,FENDI TXT-C29,-,ATIVO,24/10/2025,imagens/00095/FENDI TXT-C29.jpg
00095,ALUMINIO,MARROM FOSCO TXT-C32,-,ATIVO,24/10/2025,imagens/00095/MARROM FOSCO TXT-C32.jpg
00095,ALUMINIO,VINHO TXT-C51,-,ATIVO,24/10/2025,imagens/00095/VINHO TXT-C51.jpg
00095,ALUMINIO,MARROM MESCLA TXT-C52,-,ATIVO,24/10/2025,imagens/00095/MARROM MESCLA TXT-C52.jpg
00095,ALUMINIO,BRANCO FOSCO TXT-C21,-,ATIVO,24/10/2025,imagens/00095/BRANCO FOSCO TXT-C21.jpg
00095,ALUMINIO,CINZA CHUMBO LISO-C30,-,ATIVO,24/10/2025,imagens/00095/CINZA CHUMBO LISO-C30.jpg
00095,ALUMINIO,PRETO FOSCO TXT-C31,-,ATIVO,24/10/2025,imagens/00095/PRETO FOSCO TXT-C31.jpg
00095,ALUMINIO,CORTEN FOSCO TXT-C34,-,ATIVO,24/10/2025,imagens/00095/CORTEN FOSCO TXT-C34.jpg
00095,ALUMINIO,CHUMBO FOSCO TXT-C39,-,ATIVO,24/10/2025,imagens/00095/CHUMBO FOSCO TXT-C39.jpg
00095,ALUMINIO,VERDE MUSGO TXT-C42,-,ATIVO,24/10/2025,imagens/00095/VERDE MUSGO TXT-C42.jpg
00095,ALUMINIO,AZUL CARBONO TXT-C53,-,ATIVO,24/10/2025,imagens/00095/AZUL CARBONO TXT-C53.jpg
